Type,Amount,Date,Time,AM/PM,Description,Plaza,Bridge,Lane,Direction,Transponder,Plate,
Toll,$2.40,8/15/2022,11:15:00,AM,LocalTransaction,2,KennedyBridge,-,SB,6712755,,
Toll,$2.40,8/15/2022,7:44:55,AM,LocalTransaction,2,EastEndCrossing,-,SB,7020623,,
Toll,$2.40,8/12/2022,12:18:56,PM,LocalTransaction,3,EastEndCrossing,-,NB,7020623,,
Toll,$2.40,8/12/2022,6:58:48,AM,LocalTransaction,2,EastEndCrossing,-,SB,7020623,,
Toll,$2.40,8/11/2022,5:18:26,PM,LocalTransaction,3,EastEndCrossing,-,NB,7020623,,
Toll,$2.40,8/11/2022,2:22:04,PM,LocalTransaction,2,LincolnBridge,-,NB-Exit0,6712755,,
Toll,$2.40,8/11/2022,11:36:32,AM,LocalTransaction,2,KennedyBridge,-,SB,6712755,,
Toll,$2.40,8/11/2022,7:00:31,AM,LocalTransaction,2,EastEndCrossing,-,SB,7020623,,
Toll,$2.40,8/10/2022,5:13:38,PM,LocalTransaction,2,EastEndCrossing,-,NB,7020623,,
Toll,$2.40,8/10/2022,8:39:25,AM,LocalTransaction,6,KennedyBridge,-,SB,7020623,,,
Toll,$2.40,8/9/2022,5:13:34,PM,LocalTransaction,3,EastEndCrossing,-,NB,7020623,,
Toll,$2.40,8/9/2022,7:53:29,AM,LocalTransaction,3,EastEndCrossing,-,SB,7020623,,
Toll,$2.40,8/8/2022,5:25:03,PM,LocalTransaction,3,EastEndCrossing,-,NB,7020623,,
Toll,$2.40,8/8/2022,1:03:35,PM,LocalTransaction,5,LincolnBridge,-,NB,6712755,,
Toll,$2.40,8/8/2022,11:29:41,AM,vTollTransaction,3,KennedyBridge,-,SB,,825ZYS,
Toll,$2.40,8/8/2022,7:36:18,AM,LocalTransaction,3,EastEndCrossing,-,SB,7020623,,
